variant_name,prediction,seed,compat_N,well_mixed,payoff_preset,payoff_T,payoff_R,payoff_P,payoff_S,evolution_on,mutation_rate,fermi_k,evolution_interval,dunbar_limit,vision_radius,player_speed,end_cycle,share_TFT,share_ALLC,share_ALLD,share_FTFT,share_TF2T,share_GRIM,share_WSLS,d_share,exploit_last_window,payoff_ALLD,payoff_TFT,payoff_all,known_partners,distinct_partners,games_per_partner,exceeding_dunbar,fixated,stabilized,stabilized_at,nb_character_changes
S1_P12_wellmixed,P1P2,744720527,200,True,PD_classic,9.0,5.0,1.0,0.0,True,0.0,0.5,100,0,30,2.0,20000,0.032,0.0,0.968,0.0,0.0,0.0,0.0,1.0,0.0,1.0970248638365516,1.094225677047299,1.0968709085631425,199.0,199.0,183.92105527638188,0.0,False,False,-1,3637
S1_P12_wellmixed,P1P2,686818433,200,True,PD_classic,9.0,5.0,1.0,0.0,True,0.0,0.5,100,0,30,2.0,20000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.03238780601924844,0.06300112043286968,0.0,0.0,2.4437589088403326,199.0,199.0,183.86195979899492,0.0,True,False,-1,5266
S1_P12_wellmixed,P1P2,2121129191,200,True,PD_classic,9.0,5.0,1.0,0.0,True,0.0,0.5,100,0,30,2.0,20000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.007081874893520278,0.014161440420797087,0.0,0.0,3.114319658795501,199.0,199.0,183.89256281407037,0.0,True,False,-1,4841
S1_P12_wellmixed,P1P2,381425458,200,True,PD_classic,9.0,5.0,1.0,0.0,True,0.0,0.5,100,0,30,2.0,20000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.006583174542817216,0.0,0.0,0.0,4.081405587487164,199.0,199.0,183.95849246231163,0.0,True,True,16000,8256
S1_P12_wellmixed,P1P2,1620985466,200,True,PD_classic,9.0,5.0,1.0,0.0,True,0.0,0.5,100,0,30,2.0,20000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0648309855516427,0.0,1.0648309855516427,199.0,199.0,183.91909547738692,0.0,True,True,11000,895
S1_P12_wellmixed,P1P2,2121129191,200,True,weak_PD,1.6,1.0,0.0,0.0,True,0.0,0.5,100,0,30,2.0,20000,0.0,0.0,0.728,0.0,0.0,0.27199999999999996,0.0,0.9000479108384873,0.1539357420935217,0.35491407598576985,0.0,0.354952088019945,199.0,199.0,183.9161306532664,0.0,False,False,-1,9735
S1_P12_wellmixed,P1P2,686818433,200,True,weak_PD,1.6,1.0,0.0,0.0,True,0.0,0.5,100,0,30,2.0,20000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.27819555183500594,0.0,0.27819555183500594,199.0,199.0,183.91447236180906,0.0,True,True,18000,7104
S1_P12_wellmixed,P1P2,744720527,200,True,weak_PD,1.6,1.0,0.0,0.0,True,0.0,0.5,100,0,30,2.0,20000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9238448262983704,199.0,199.0,183.96055276381915,0.0,True,True,14000,10674
S1_P12_wellmixed,P1P2,381425458,200,True,weak_PD,1.6,1.0,0.0,0.0,True,0.0,0.5,100,0,30,2.0,20000,0.0,0.33299999999999996,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.9519763551171097,199.0,199.0,183.89517587939702,0.0,False,True,11000,8916
S1_P12_wellmixed,P1P2,686818433,200,True,snowdrift,4.0,3.0,0.0,2.0,True,0.0,0.5,100,0,30,2.0,20000,0.0,0.2465,0.0,0.0,0.056499999999999995,0.0,0.697,0.0,0.0,0.0,0.0,2.9925854828701435,199.0,199.0,183.92738693467328,0.0,False,True,11000,12281
