variant_name,seed,network_variant,col,row,total_games,share_repeat_remembered,share_repeat_ever,last_window_share_remembered,last_window_share_ever
PM4_heatmap,2121129191,baseline,3,0,170,0.9941176470588236,0.9941176470588236,-1.0,-1.0
PM4_heatmap,2121129191,baseline,4,0,76,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,5,0,57,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,7,0,7,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,8,0,63,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,22,0,68,1.0,1.0,1.0,1.0
PM4_heatmap,2121129191,baseline,23,0,16,1.0,1.0,1.0,1.0
PM4_heatmap,2121129191,baseline,29,0,1,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,30,0,110,0.8909090909090909,0.8909090909090909,-1.0,-1.0
PM4_heatmap,2121129191,baseline,31,0,6,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,32,0,92,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,33,0,87,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,34,0,210,1.0,1.0,1.0,1.0
PM4_heatmap,2121129191,baseline,35,0,167,1.0,1.0,1.0,1.0
PM4_heatmap,2121129191,baseline,37,0,6,0.8333333333333334,0.8333333333333334,-1.0,-1.0
PM4_heatmap,2121129191,baseline,38,0,73,0.9863013698630136,0.9863013698630136,-1.0,-1.0
PM4_heatmap,2121129191,baseline,39,0,5,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,42,0,19,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,43,0,49,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,2,1,60,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,3,1,123,0.991869918699187,0.991869918699187,-1.0,-1.0
PM4_heatmap,2121129191,baseline,5,1,19,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,8,1,22,0.9545454545454546,0.9545454545454546,-1.0,-1.0
PM4_heatmap,2121129191,baseline,9,1,16,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,19,1,5,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,21,1,1,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,22,1,2,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,26,1,13,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,27,1,142,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,30,1,267,0.9850187265917603,0.9850187265917603,-1.0,-1.0
PM4_heatmap,2121129191,baseline,32,1,31,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,33,1,13,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,35,1,216,0.9907407407407407,0.9907407407407407,1.0,1.0
PM4_heatmap,2121129191,baseline,38,1,56,0.9642857142857143,0.9642857142857143,-1.0,-1.0
PM4_heatmap,2121129191,baseline,39,1,96,0.9583333333333334,0.9583333333333334,-1.0,-1.0
PM4_heatmap,2121129191,baseline,40,1,4,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,43,1,4,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,2,2,18,0.9444444444444444,0.9444444444444444,-1.0,-1.0
PM4_heatmap,2121129191,baseline,3,2,148,0.9797297297297297,0.9797297297297297,0.9782608695652174,0.9782608695652174
PM4_heatmap,2121129191,baseline,4,2,119,0.9747899159663865,0.9747899159663865,0.9583333333333334,0.9583333333333334
PM4_heatmap,2121129191,baseline,5,2,25,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,7,2,6,0.8333333333333334,0.8333333333333334,-1.0,-1.0
PM4_heatmap,2121129191,baseline,8,2,123,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,9,2,24,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,10,2,77,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,11,2,105,0.9809523809523809,0.9809523809523809,-1.0,-1.0
PM4_heatmap,2121129191,baseline,17,2,7,0.8571428571428571,0.8571428571428571,-1.0,-1.0
PM4_heatmap,2121129191,baseline,18,2,11,0.9090909090909091,0.9090909090909091,-1.0,-1.0
PM4_heatmap,2121129191,baseline,19,2,95,0.9894736842105263,0.9894736842105263,-1.0,-1.0
PM4_heatmap,2121129191,baseline,20,2,25,0.92,0.92,-1.0,-1.0
PM4_heatmap,2121129191,baseline,21,2,24,0.9583333333333334,0.9583333333333334,-1.0,-1.0
PM4_heatmap,2121129191,baseline,22,2,3,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,27,2,61,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,28,2,27,0.9629629629629629,0.9629629629629629,-1.0,-1.0
PM4_heatmap,2121129191,baseline,29,2,195,0.9948717948717949,0.9948717948717949,-1.0,-1.0
PM4_heatmap,2121129191,baseline,30,2,310,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,31,2,84,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,32,2,46,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,33,2,18,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,35,2,74,0.972972972972973,0.972972972972973,1.0,1.0
PM4_heatmap,2121129191,baseline,36,2,10,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,37,2,98,0.9795918367346939,0.9795918367346939,-1.0,-1.0
PM4_heatmap,2121129191,baseline,39,2,55,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,40,2,112,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,3,3,51,0.9803921568627451,0.9803921568627451,-1.0,-1.0
PM4_heatmap,2121129191,baseline,4,3,14,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,8,3,3,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,11,3,102,0.9803921568627451,0.9803921568627451,-1.0,-1.0
PM4_heatmap,2121129191,baseline,12,3,88,0.9886363636363636,0.9886363636363636,-1.0,-1.0
PM4_heatmap,2121129191,baseline,22,3,38,0.9736842105263158,0.9736842105263158,-1.0,-1.0
PM4_heatmap,2121129191,baseline,23,3,21,0.9523809523809523,0.9523809523809523,-1.0,-1.0
PM4_heatmap,2121129191,baseline,25,3,78,0.9743589743589743,0.9743589743589743,-1.0,-1.0
PM4_heatmap,2121129191,baseline,26,3,41,0.9512195121951219,0.9512195121951219,-1.0,-1.0
PM4_heatmap,2121129191,baseline,28,3,122,0.9672131147540983,0.9672131147540983,-1.0,-1.0
PM4_heatmap,2121129191,baseline,30,3,24,0.9583333333333334,0.9583333333333334,-1.0,-1.0
PM4_heatmap,2121129191,baseline,31,3,18,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,35,3,2,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,36,3,22,0.9545454545454546,0.9545454545454546,-1.0,-1.0
PM4_heatmap,2121129191,baseline,39,3,102,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,41,3,5,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,42,3,90,0.9888888888888889,0.9888888888888889,-1.0,-1.0
PM4_heatmap,2121129191,baseline,43,3,33,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,3,4,3,0.6666666666666666,0.6666666666666666,-1.0,-1.0
PM4_heatmap,2121129191,baseline,5,4,2,0.5,0.5,-1.0,-1.0
PM4_heatmap,2121129191,baseline,6,4,48,0.9791666666666666,0.9791666666666666,-1.0,-1.0
PM4_heatmap,2121129191,baseline,7,4,14,0.9285714285714286,0.9285714285714286,-1.0,-1.0
PM4_heatmap,2121129191,baseline,11,4,18,0.9444444444444444,0.9444444444444444,-1.0,-1.0
PM4_heatmap,2121129191,baseline,21,4,36,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,22,4,10,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,25,4,93,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,28,4,147,0.9795918367346939,0.9795918367346939,-1.0,-1.0
PM4_heatmap,2121129191,baseline,30,4,63,0.9841269841269841,0.9841269841269841,-1.0,-1.0
PM4_heatmap,2121129191,baseline,31,4,35,0.9714285714285714,0.9714285714285714,-1.0,-1.0
PM4_heatmap,2121129191,baseline,35,4,2,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,36,4,18,0.9444444444444444,0.9444444444444444,-1.0,-1.0
PM4_heatmap,2121129191,baseline,39,4,7,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,40,4,60,0.9666666666666667,0.9666666666666667,-1.0,-1.0
