variant_name,seed,network_variant,col,row,total_games,share_repeat_remembered,share_repeat_ever,last_window_share_remembered,last_window_share_ever
PM4_heatmap_speed2,2121129191,baseline,0,0,13,0.9230769230769231,0.9230769230769231,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,3,0,27,0.9629629629629629,0.9629629629629629,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,4,0,12,1.0,1.0,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,5,0,3,1.0,1.0,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,6,0,2,1.0,1.0,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,7,0,20,0.9,0.9,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,8,0,61,0.9508196721311475,0.9508196721311475,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,9,0,45,0.8888888888888888,0.8888888888888888,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,10,0,34,0.9411764705882353,0.9411764705882353,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,11,0,29,1.0,1.0,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,12,0,26,0.9230769230769231,0.9230769230769231,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,13,0,38,0.9210526315789473,0.9210526315789473,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,14,0,24,0.9583333333333334,0.9583333333333334,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,15,0,28,1.0,1.0,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,16,0,22,0.9545454545454546,0.9545454545454546,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,17,0,14,0.9285714285714286,0.9285714285714286,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,18,0,10,1.0,1.0,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,19,0,7,1.0,1.0,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,21,0,25,1.0,1.0,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,22,0,28,0.8928571428571429,0.8928571428571429,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,23,0,14,0.9285714285714286,0.9285714285714286,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,24,0,26,0.7692307692307693,0.7692307692307693,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,25,0,58,0.9482758620689655,0.9482758620689655,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,26,0,54,0.9814814814814815,0.9814814814814815,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,27,0,31,1.0,1.0,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,29,0,32,0.96875,0.96875,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,30,0,56,0.8571428571428571,0.8571428571428571,-1.0,-1.0
